 num     #instances         #bytes  class name (module)
 248:           176           2816  java.util.concurrent.atomic.AtomicBoolean (java.base@11.0.8)
 249:            32           2816  java.util.regex.Pattern (java.base@11.0.8)
 250:            47           2752  [Lcom.sun.org.apache.xerces.internal.util.SymbolHash$Entry; (java.xml@11.0.8)
 251:            49           2744  java.util.logging.Logger (java.logging@11.0.8)
 252:           111           2664  java.util.ImmutableCollections$List12 (java.base@11.0.8)
 253:           163           2608  com.sun.proxy.$Proxy32
 254:            30           2528  [Ljava.lang.ThreadLocal$ThreadLocalMap$Entry; (java.base@11.0.8)
 255:           104           2496  java.util.zip.ZipFile$Source$Key (java.base@11.0.8)
 256:           151           2416  java.util.ImmutableCollections$ListN (java.base@11.0.8)
 257:           151           2416  java.util.WeakHashMap$KeySet (java.base@11.0.8)
 258:            60           2400  java.io.FilePermission (java.base@11.0.8)
 259:            30           2400  java.lang.invoke.BoundMethodHandle$Species_LLLLLLLLLIILL (java.base@11.0.8)
 260:            49           2352  java.lang.invoke.BoundMethodHandle$SpeciesData (java.base@11.0.8)
 261:             2           2328  [Lorg.eclipse.jetty.http.HttpStatus$Code;
 262:            97           2328  com.sun.beans.introspect.MethodInfo (java.desktop@11.0.8)
 263:            97           2328  java.util.Collections$UnmodifiableRandomAccessList (java.base@11.0.8)
 264:            18           2304  io.netty.util.internal.InternalThreadLocalMap
 265:            41           2296  java.security.Provider$Service (java.base@11.0.8)
 266:            41           2296  javax.management.openmbean.CompositeType (java.management@11.0.8)
 267:            95           2280  java.security.Provider$ServiceKey (java.base@11.0.8)
 268:            71           2272  com.sun.org.apache.xerces.internal.xni.QName (java.xml@11.0.8)
 269:            46           2208  io.airlift.airline.model.CommandMetadata
 270:           136           2176  org.eclipse.jetty.webapp.ClassMatcher$ByLocation
 271:           136           2176  org.eclipse.jetty.webapp.ClassMatcher$ByPackage
 272:            89           2136  sun.reflect.generics.factory.CoreReflectionFactory (java.base@11.0.8)
 273:            66           2112  java.lang.invoke.LambdaForm$Kind (java.base@11.0.8)
 274:            66           2112  java.security.Permissions (java.base@11.0.8)
 275:            23           2104  [[B (java.base@11.0.8)
 276:           130           2080  java.lang.Character (java.base@11.0.8)
 277:             1           2064  [Lorg.eclipse.jetty.http.HttpGenerator$PreparedResponse;
 278:            86           2064  org.apache.qpid.proton.amqp.Symbol
 279:            50           2000  java.util.logging.Logger$ConfigurationData (java.logging@11.0.8)
 280:            50           2000  org.apache.activemq.artemis.utils.actors.OrderedExecutor
 281:            62           1984  jdk.internal.reflect.UnsafeObjectFieldAccessorImpl (java.base@11.0.8)
 282:            41           1968  com.sun.management.internal.DiagnosticCommandInfo (jdk.management@11.0.8)
 283:            82           1968  jdk.internal.reflect.NativeMethodAccessorImpl (java.base@11.0.8)
 284:            49           1960  [Ljava.lang.invoke.BoundMethodHandle$SpeciesData; (java.base@11.0.8)
 285:            61           1952  org.eclipse.jetty.http.HttpStatus$Code
 286:            81           1944  sun.reflect.generics.reflectiveObjects.ParameterizedTypeImpl (java.base@11.0.8)
 287:            14           1896  [Ljava.lang.ClassValue$Entry; (java.base@11.0.8)
 288:            13           1872  [Lio.netty.buffer.LongPriorityQueue;
 289:            78           1872  io.netty.util.Recycler$DefaultHandle
 290:            46           1840  java.security.AccessControlContext (java.base@11.0.8)
 291:            76           1824  java.util.Arrays$ArrayList (java.base@11.0.8)
 292:            76           1824  java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject (java.base@11.0.8)
 293:            57           1824  javax.management.ObjectName (java.management@11.0.8)
 294:            74           1776  jdk.internal.loader.AbstractClassLoaderValue$Sub (java.base@11.0.8)
 295:            37           1776  org.eclipse.jetty.http.pathmap.ServletPathSpec
 296:           110           1760  [Ljava.security.Principal; (java.base@11.0.8)
 297:           110           1760  java.security.ProtectionDomain$Key (java.base@11.0.8)
 298:             3           1704  org.jctools.queues.MpscUnboundedArrayQueue
 299:            53           1696  sun.nio.fs.UnixFileKey (java.base@11.0.8)
 300:            30           1680  [Lorg.apache.activemq.artemis.utils.collections.LinkedListImpl$Iterator;
 301:           104           1664  sun.nio.fs.UnixFileAttributes$UnixAsBasicFileAttributes (java.base@11.0.8)
 302:            68           1632  org.eclipse.jetty.webapp.ClassMatcher
 303:            40           1600  org.eclipse.jetty.http.HttpMethod
 304:            18           1584  io.netty.buffer.PooledUnsafeDirectByteBuf
 305:            33           1584  java.time.temporal.ValueRange (java.base@11.0.8)
 306:            32           1536  com.sun.org.apache.xerces.internal.impl.dv.xs.DecimalDV$XDecimal (java.xml@11.0.8)
 307:            48           1536  com.sun.org.apache.xerces.internal.impl.xs.traversers.OneAttr (java.xml@11.0.8)
 308:            19           1520  org.eclipse.jetty.servlet.FilterHolder
 309:            38           1520  sun.reflect.generics.repository.MethodRepository (java.base@11.0.8)
 310:            47           1504  com.sun.org.apache.xerces.internal.util.SymbolHash (java.xml@11.0.8)
 311:            47           1504  java.util.Vector (java.base@11.0.8)
 312:             4           1504  org.apache.logging.log4j.core.util.Log4jThread
 313:             2           1448  [Ljava.time.LocalDateTime; (java.base@11.0.8)
 314:            60           1440  java.lang.module.ResolvedModule (java.base@11.0.8)
 315:            45           1440  java.util.zip.ZipFile$CleanableResource$FinalizableResource (java.base@11.0.8)
 316:            60           1440  jdk.internal.module.SystemModuleFinders$2 (java.base@11.0.8)
 317:            60           1440  jdk.internal.module.SystemModuleFinders$SystemModuleReader (java.base@11.0.8)
 318:            30           1440  org.apache.activemq.artemis.utils.collections.LinkedListImpl
 319:            59           1416  java.io.FilePermissionCollection (java.base@11.0.8)
 320:            59           1416  jdk.internal.loader.BuiltinClassLoader$LoadedModule (java.base@11.0.8)
 321:            59           1416  org.eclipse.jetty.http.HttpGenerator$PreparedResponse
 322:            44           1408  org.jolokia.config.ConfigKey
 323:            58           1392  com.sun.org.apache.xerces.internal.util.SymbolTable$Entry (java.xml@11.0.8)
 324:            87           1392  jdk.internal.reflect.DelegatingMethodAccessorImpl (java.base@11.0.8)
 325:             1           1376  [Ljdk.internal.math.FDBigInteger; (java.base@11.0.8)
 326:            57           1368  java.util.jar.Manifest (java.base@11.0.8)
 327:            13           1352  org.eclipse.jetty.servlet.ServletHolder
 328:            56           1344  java.lang.module.ModuleDescriptor$Provides (java.base@11.0.8)
 329:            42           1344  java.util.concurrent.atomic.LongAdder (java.base@11.0.8)
 330:            56           1344  javax.xml.namespace.QName (java.xml@11.0.8)
 331:             8           1336  [Ljava.beans.MethodDescriptor; (java.desktop@11.0.8)
 332:            79           1336  [Lsun.reflect.generics.tree.FormalTypeParameter; (java.base@11.0.8)
 333:            41           1312  com.sun.management.internal.DiagnosticCommandImpl$Wrapper (jdk.management@11.0.8)
 334:            41           1312  sun.reflect.generics.repository.ClassRepository (java.base@11.0.8)
 335:            40           1296  [Ljava.math.BigInteger; (java.base@11.0.8)
 336:            27           1296  javax.management.openmbean.TabularType (java.management@11.0.8)
 337:            27           1296  org.apache.commons.beanutils.converters.ArrayConverter
 338:            41           1264  [Lcom.sun.org.apache.xerces.internal.impl.xs.traversers.OneAttr; (java.xml@11.0.8)
 339:            51           1224  com.sun.jmx.mbeanserver.NamedObject (java.management@11.0.8)
 340:            51           1224  sun.reflect.generics.scope.ClassScope (java.base@11.0.8)
 341:            38           1216  sun.reflect.generics.tree.MethodTypeSignature (java.base@11.0.8)
 342:            30           1200  java.time.temporal.ChronoField (java.base@11.0.8)
 343:             5           1200  org.apache.activemq.artemis.core.remoting.impl.netty.NettyAcceptor
 344:            50           1200  org.eclipse.jetty.servlet.Source
 345:            37           1184  io.netty.channel.ChannelOption
 346:            37           1184  java.lang.invoke.VarHandle$AccessDescriptor (java.base@11.0.8)
 347:            21           1176  org.apache.logging.log4j.core.util.datetime.FixedDateFormat$FixedFormat
